Site_ID,Sample_ID,Ecosystem,Latitude,Longitude,Depth_cm,Bulk_Density_g_cm3,LOI_percent,OC_percent,CarbonStock_t_ha
U1,U.1.2,Unvegetated,-27.5037,153.4057,2,0.094134,0.469885,0.24434,0.460013
U1,U.1.4,Unvegetated,-27.5037,153.4057,4,0.101757,0.39185,0.203762,0.414685
U1,U.1.6,Unvegetated,-27.5037,153.4057,6,0.110734,0.490597,0.25511,0.564986
U1,U.1.8,Unvegetated,-27.5037,153.4057,8,0.11301,0.335477,0.174448,0.394286
U1,U.1.10,Unvegetated,-27.5037,153.4057,10,0.114442,0.277692,0.1444,0.330508
U1,U.1.20,Unvegetated,-27.5037,153.4057,20,0.112824,0.424874,0.220935,2.492667
U1,U.1.30,Unvegetated,-27.5037,153.4057,30,0.124356,0.634737,0.330063,4.104538
U1,U.1.35,Unvegetated,-27.5037,153.4057,35,0.118753,0.477766,0.248438,1.475132
U2,U.2.2,Unvegetated,-27.5038,153.4057,2,0.096203,0.242887,0.126301,0.243011
U2,U.2.4,Unvegetated,-27.5038,153.4057,4,0.111848,0.434311,0.225841,0.505197
U2,U.2.6,Unvegetated,-27.5038,153.4057,6,0.116702,0.425532,0.221277,0.516468
U2,U.2.8,Unvegetated,-27.5038,153.4057,8,0.092113,0.525178,0.273092,0.503104
U2,U.2.10,Unvegetated,-27.5038,153.4057,10,0.107105,0.560686,0.291557,0.624543
U2,U.2.20,Unvegetated,-27.5038,153.4057,20,0.105773,0.591216,0.307432,3.251808
U2,U.2.30,Unvegetated,-27.5038,153.4057,30,0.104353,0.924821,0.480907,5.018429
U2,U.2.40,Unvegetated,-27.5038,153.4057,40,0.12625,1.572945,0.817932,10.32638
U3,U.3.2,Unvegetated,-27.5038,153.4057,2,0.115126,0.335664,0.174545,0.401896
U3,U.3.4,Unvegetated,-27.5038,153.4057,4,0.134161,0.391181,0.203414,0.545805
U3,U.3.6,Unvegetated,-27.5038,153.4057,6,0.098542,0.421941,0.219409,0.432422
U3,U.3.8,Unvegetated,-27.5038,153.4057,8,0.089136,0.373274,0.194102,0.346031
U3,U.3.10,Unvegetated,-27.5038,153.4057,10,0.120028,0.426699,0.221884,0.532646
U3,U.3.20,Unvegetated,-27.5038,153.4057,20,0.10952,0.779459,0.405319,4.439034
U3,U.3.30,Unvegetated,-27.5038,153.4057,30,0.105818,0.729129,0.379147,4.012044
U3,U.3.35,Unvegetated,-27.5038,153.4057,35,0.133318,1.960784,1.019608,6.796623
S1,S.1.2,Seagrass,-27.5036,153.4053,2,0.0659,2.441009,1.269325,1.672962
S1,S.1.4,Seagrass,-27.5036,153.4053,4,0.096171,2.561072,1.331757,2.561528
S1,S.1.6,Seagrass,-27.5036,153.4053,6,0.104145,1.454545,0.756364,1.575424
S1,S.1.8,Seagrass,-27.5036,153.4053,8,0.0892,1.324503,0.688742,1.228715
S1,S.1.10,Seagrass,-27.5036,153.4053,10,0.109715,0.78125,0.40625,0.891435
S1,S.1.20,Seagrass,-27.5036,153.4053,20,0.096561,0.67712,0.352103,3.399946
S1,S.1.30,Seagrass,-27.5036,153.4053,30,0.118671,0.658545,0.342443,4.063808
S2,S.2.2,Seagrass,-27.5036,153.4052,2,0.071327,2.555301,1.328757,1.895521
S2,S.2.4,Seagrass,-27.5036,153.4052,4,0.070849,4.09042,2.127018,3.01396
S2,S.2.6,Seagrass,-27.5036,153.4052,6,0.073078,3.218884,1.67382,2.446374
S2,S.2.8,Seagrass,-27.5036,153.4052,8,0.089041,1.821248,0.947049,1.68652
S2,S.2.10,Seagrass,-27.5036,153.4052,10,0.10015,1.250372,0.650194,1.302336
S2,S.2.20,Seagrass,-27.5036,153.4052,20,0.101638,0.643696,0.334722,3.402053
S2,S.2.30,Seagrass,-27.5036,153.4052,30,0.108345,0.941347,0.4895,5.303494
S2,S.2.40,Seagrass,-27.5036,153.4052,40,0.127361,1.268898,0.659827,8.403617
S2,S.2.50,Seagrass,-27.5036,153.4052,50,0.117095,0.582751,0.30303,3.548345
S3,S.3.2,Seagrass,-27.5036,153.4051,2,0.067475,2.89103,1.503336,2.028762
S3,S.3.4,Seagrass,-27.5036,153.4051,4,0.103031,2.433333,1.265333,2.60736
S3,S.3.6,Seagrass,-27.5036,153.4051,6,0.114394,1.639344,0.852459,1.950327
S3,S.3.8,Seagrass,-27.5036,153.4051,8,0.101566,1.701859,0.884967,1.797657
S3,S.3.10,Seagrass,-27.5036,153.4051,10,0.092876,2.326531,1.209796,2.247231
S3,S.3.20,Seagrass,-27.5036,153.4051,20,0.088654,1.810437,0.941427,8.346165
S3,S.3.30,Seagrass,-27.5036,153.4051,30,0.096224,1.869547,0.972165,9.354537
S3,S.3.40,Seagrass,-27.5036,153.4051,40,0.123894,1.286765,0.669118,8.289999
S3,S.3.50,Seagrass,-27.5036,153.4051,50,0.138034,1.037421,0.539459,7.446359
M1,M.1.2,Mangrove,-27.4906,153.406,2,0.14196,2.072357,1.077626,3.059591
M1,M.1.4,Mangrove,-27.4906,153.406,4,0.117036,2.443163,1.270445,2.973759
M1,M.1.6,Mangrove,-27.4906,153.406,6,0.112675,2.449625,1.273805,2.870528
M1,M.1.8,Mangrove,-27.4906,153.406,8,0.125264,2.024291,1.052632,2.637147
M1,M.1.10,Mangrove,-27.4906,153.406,10,0.099561,1.718009,0.893365,1.778886
