Sample ID,vegetation type,Site,Mangroves,Crucible Number / Label,Weight Crucible (g),Weight filled crucible (g) before 500°C,Weight of sediment (weight filled crucible - weight of crucible) ,Weight (g) filled crucible after 500°C,Weight of sediment (weight filled crucible after 500°C - weight of crucible),Mass lost,Height of sample / cylinder sample (cm),Volume (cm^3),Weight post oven #1 (g),Bulk Density (g/cm^3),%LOI (% Lost on Ignition),%OC,Soil Carbon Density (SCD g/cm^3),Amount of carbon per sample (g/cm^3),Carbon in common units (Mg C/hectare),Cumulative / 30cm depth,Distance to Nearest Mangrove (m),Distance to Nearest Seagrass (m),Constants,
U.1.2,Unveg,Adams,None,40,14.85,38.26,23.41,38.15,23.3,0.11,2,39.26990817,59.146,1.506140522,0.4698846647,0.2443400256,0.003680104138,0.007360208276,0.7360208276,,279.35,9.93,Cylinder Radius (cm),2.5
U.1.4,Unveg,Adams,None,19,14.08,39.6,25.52,39.5,25.42,0.1,2,39.26990817,63.936,1.628116871,0.3918495298,0.2037617555,0.003317479517,0.006634959034,0.6634959034,,279.35,9.93,,
U.1.6,Unveg,Adams,None,C25,13.27,37.73,24.46,37.61,24.34,0.12,2,39.26990817,69.576,1.771738291,0.4905968929,0.2551103843,0.004519888364,0.009039776727,0.9039776727,,279.35,9.93,,
U.1.8,Unveg,Adams,None,138,13.66,49.43,35.77,49.31,35.65,0.12,2,39.26990817,71.006,1.808152942,0.3354766564,0.1744478613,0.003154284137,0.006308568275,0.6308568275,,279.35,9.93,,
U.1.10,Unveg,Adams,None,23,15.35,47.76,32.41,47.67,32.32,0.09,2,39.26990817,71.906,1.831071254,0.2776920703,0.1443998766,0.002644064631,0.005288129262,0.5288129262,,279.35,9.93,,
U.1.20,Unveg,Adams,None,C29,14.85,40.74,25.89,40.63,25.78,0.11,10,196.3495408,354.446,1.805178655,0.4248744689,0.2209347238,0.003988266475,0.03988266475,3.988266475,,279.35,9.93,,
U.1.30,Unveg,Adams,None,3,13.35,48.01,34.66,47.79,34.44,0.22,10,196.3495408,390.676,1.98969653,0.6347374495,0.3300634737,0.006567261482,0.06567261482,6.567261482,14.01869212,279.35,9.93,,
U.1.35,Unveg,Adams,None,5,13.67,40.88,27.21,40.75,27.08,0.13,5,98.17477042,186.536,1.900040094,0.4777655274,0.2484380742,0.004720423019,0.02360211509,2.360211509,,279.35,9.93,,
U.2.2,Unveg,Adams,None,35,15.66,44.48,28.82,44.41,28.75,0.07,2,39.26990817,60.446,1.53924475,0.2428868841,0.1263011797,0.001944084279,0.003888168558,0.3888168558,,282.12,8.18,,
U.2.4,Unveg,Adams,None,APO,14.45,42.08,27.63,41.96,27.51,0.12,2,39.26990817,70.276,1.789563645,0.434310532,0.2258414767,0.004041576961,0.008083153923,0.8083153923,,282.12,8.18,,
U.2.6,Unveg,Adams,None,18,16.18,42.03,25.85,41.92,25.74,0.11,2,39.26990817,73.326,1.867231257,0.4255319149,0.2212765957,0.00413174576,0.008263491521,0.8263491521,,282.12,8.18,,
U.2.8,Unveg,Adams,None,88,15.62,47.99,32.37,47.82,32.2,0.17,2,39.26990817,57.876,1.473800238,0.5251776336,0.2730923695,0.004024835991,0.008049671982,0.8049671982,,282.12,8.18,,
